search URL:,https://patents.google.com/?q=TAC%253d%22biogas%22&country=BR
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
BR-112013014107-B1,"REACTOR SYSTEM TO PREPARE BIOGAS THROUGH ANAEROBIC DEGRADATION OF ONE OR MORE ORGANIC SUBSTANCES, AND METHOD FOR RECOVERING METHANE FROM AN EFFLUENT FROM A REACTOR ",Veolia Water Solutions & Technologies Support,"Jeroen V. D. Lubbe, Barry Heffernan",2010-12-07,2011-12-07,2020-02-11,,https://patents.google.com/patent/BR112013014107B1/en,
BR-102013021902-A2,"Ethanol and biogas production method, and ethanol installation for ethanol and biogas production ",Veolia Water Solutions & Tech,"Graig Rosenberger, Timur Dunaev",2012-08-29,2013-08-27,2015-04-14,,https://patents.google.com/patent/BR102013021902A2/en,
BR-PI0702841-A,biogas process and installation for the production of biogas from organically charged liquids ,Brandenburgische Tech Universi,"Guenter Busch, Ninaphone Yinnavong, Jochen Grossmann",2006-02-13,2007-02-07,2008-05-20,,https://patents.google.com/patent/BRPI0702841A/en,
BR-112018009679-A2,system and method for controlling a biogas plant ,Antonini Marco Ditta Individuale,Antonini Marco,2015-11-13,2016-11-14,2018-11-06,,https://patents.google.com/patent/BR112018009679A2/en,
BR-PI0507736-A,process for biogas production ,Sapporo Breweries,"Yutaka Mitani, Naomichi Nishio",2004-02-16,2005-02-15,2007-07-10,,https://patents.google.com/patent/BRPI0507736A/en,
BR-PI0619581-A2,"transport arrangement for biomass, large fermenter for biogas generation from biomass, and process for operating a large fermenter ",Bekon Energy Technologies Gmbh & Co Kg,Peter Lutz,2005-12-07,2006-12-07,2011-10-04,,https://patents.google.com/patent/BRPI0619581A2/en,
BR-PI1102151-A2,BIOGAS PRODUCTION PROCESS AND SYSTEM FROM SOLID PHASE ANAEROBIC DIGESTION ,Cetrel S A,"Haandel Adrianus Cornelius Van, Barbosa Claudia Rodrigues",2011-05-11,2011-05-11,2014-03-04,,https://patents.google.com/patent/BRPI1102151A2/en,
BR-112019011041-A2,process for the production of biogas from fibrous substrate ,Verbio Ver Bioenergie Ag,"Schlimbach Michael, Lüdtke Oliver",2016-11-30,2016-11-30,2019-10-08,,https://patents.google.com/patent/BR112019011041A2/en,
BR-112019017492-A2,ANAEROBIC DIGESTION SYSTEM FOR PRODUCTION OF BIOGAS WITH A REDUCED HYDROGEN SULPHIDE CONTENT AND METHOD FOR PRODUCTION OF BIOGAS WITH A REDUCED HYDROGEN SULFIDE CONTENT IN AN ANAEROBIC DIGESTION SYSTEM ,Yara International Asa,"Franke Wolfram, Doppelbauer Günter",2017-02-23,2018-02-23,2020-03-31,,https://patents.google.com/patent/BR112019017492A2/en,
BR-PI0605397-A,biogas recovery system and method ,"Alexandre Kemenes, Sylvia Souza Forsberg, Luzia Gomes Ferreira Pavani, Maria Da Consolacao Go Tavares","Alexandre Kemenes, Luzia Gomes Ferreira Pavani, Sylvia Souza Forsberg, Maria Da Consolacao Go Tavares",2006-03-31,2006-03-31,2007-12-11,,https://patents.google.com/patent/BRPI0605397A/en,
BR-PI0721329-A2,BIOGAS EXTRACTION PROCESS AND CORRESPONDING DEVICE ,Veolia Proprete,"Thomas Lagier, Cyrille Lemoine, Marie Sylvain",2007-02-13,2007-11-22,2014-02-25,,https://patents.google.com/patent/BRPI0721329A2/en,
BR-112014013162-A8,"vegetable seed treatment processes, use of treated seeds and biogas production process ",Ass De Gestion De Linstitut Polytechnique Lasalle Beauvais,"Ulysse Coste Christian, Hoang Levinh, Robert Aussenac Thierry",2011-11-30,2012-11-27,2019-01-22,,https://patents.google.com/patent/BR112014013162A8/en,
BR-112015013325-A2,substrate decomposition for biogas plants in a mixing tank and combihydrolysis ,Planungsbuero Rossow Ges Fuer Erneuerbare Energien Mbh,Rossow Norbert,2012-12-07,2013-12-09,2017-07-11,,https://patents.google.com/patent/BR112015013325A2/en,
BR-112019026774-A2,lightweight device with exoskeletal support and set of parts for the production of biogas and liquid fertilizer ,Home Biogas Ltd,"Oshik Moshe EFRATI, Yair TELLER, Erez LANZER, Shoham Zak",2017-06-25,2018-06-25,2020-06-30,,https://patents.google.com/patent/BR112019026774A2/en,
BR-112019005394-A2,biogas container and installation ,bioenergy concept GmbH,Eusterbrock Christoph,2016-09-20,2017-09-19,2019-06-04,,https://patents.google.com/patent/BR112019005394A2/en,
BR-PI1002076-A2,Modular system for capturing gas or biogas from organic material containment structures ,"Anthero Machado Neto, Flavio Roberto De Souza Roscoe, Antonio Carlos Barberena Cava","Anthero Machado Neto, Antonio Carlos Barberena Cava, Flavio Roberto De Souza Roscoe",2010-07-09,2010-07-09,2012-05-22,,https://patents.google.com/patent/BRPI1002076A2/en,
BR-112019011989-A2,method and device for producing organic compounds from biogas ,Siemens Ag,"Tremel Alexander, María Fernández Sanchis Elvira, Meltzer Katharina, Baldauf Manfred, Hanebuth Marc",2017-01-12,2018-01-10,2019-10-29,,https://patents.google.com/patent/BR112019011989A2/en,
BR-PI1107440-A2,System for the removal of hydrogen sulfide and carbon dioxide from biogas resulting from anaerobic digestion of organic waste ,Univ Estadual Do Oeste Do Paraná,"Cleber Antônio Lindino, Camilo Freddy Mendoza Morejon, Reinaldo Aparecido Bariccatti, Weimar Freire Da Rocha Jr, Jandir Ferrera De Lima, Rosangela Dala Possa",2011-05-04,2011-05-04,2015-07-28,,https://patents.google.com/patent/BRPI1107440A2/en,
BR-112017027665-A2,Cellulose hydrolysis method for biogas production ,Episome Biyoteknolojik Ueruenler Sanayi Ve Ticaret Anonim Sirketi,"Bahadir Kilinc Murat, Balaban Murat",2015-06-24,2016-05-26,2018-08-28,,https://patents.google.com/patent/BR112017027665A2/en,
BR-PI1102153-A2,Biogas production process and system from vegetable biomass ,Cetrel S A,"Haandel Adrianus Cornelius Van, Claudia Rodrigues Barbosa",2011-05-11,2011-05-11,2013-06-25,,https://patents.google.com/patent/BRPI1102153A2/en,
BR-PI1001753-A2,MODEL OF A TECHNOLOGICAL BIOPROCESS FOR BIOGAS GENERATION FROM SUGAR CANE ,Univ Fed Sergipe,Fabio De Melo Resende,2010-06-02,2010-06-02,2014-04-29,,https://patents.google.com/patent/BRPI1001753A2/en,
BR-PI1000529-A2,"biofertilizer, biogas and organic fertilizer production process ",Santos Raimundo Pereira Dos,Santos Raimundo Pereira Dos,2010-02-25,2010-02-25,2011-10-18,,https://patents.google.com/patent/BRPI1000529A2/en,
BR-PI0805736-A2,double stage biogas collection uasb reactor ,Univ Minas Gerais,"Carlos Augusto De Lemos Chernicharo, Jackson De Oliveira Pereira",2008-12-23,2008-12-23,2010-09-14,,https://patents.google.com/patent/BRPI0805736A2/en,
BR-PI0504929-A,biogas purification process and corresponding equipment used for biogas purification ,Eniplan Rho Ind Tratamento De,Antonio Curioni,2005-11-09,2005-11-09,2007-08-07,,https://patents.google.com/patent/BRPI0504929A/en,
BR-102012004750-A8,ANAEROBIC PROCESS FOR THE PRODUCTION OF BIOGAS WITH HIGH METHANE CONTENT BY BIODIGESTION OF ORGANIC WASTE AND RELATED ACCELERATOR DEVICE ,"G Meta Consultoria Participacao E Servicos Ltda, Owg Oil Perfect Water And Gas Consultoria Ltda, Pesce Luciano",Pesce Luciano,2012-03-02,2012-03-02,2017-01-31,,https://patents.google.com/patent/BR102012004750A8/en,
BR-102013010204-B1,“PROCESS FOR TREATMENT AND SEPARATION OF THE ELEMENTS THAT MAKE BIOGAS”. ,Mario Cesar Reinert,Mario Cesar Reinert,2013-04-26,2013-04-26,2014-12-30,,https://patents.google.com/patent/BR102013010204B1/en,
BR-112013032858-B1,system for biogas generation and method for operating the system ,Kompoferm Gmbh,Karlgünter Eggersmann,2011-06-24,2012-04-07,2018-12-04,,https://patents.google.com/patent/BR112013032858B1/en,
BR-102012005977-A2,"Process of industrial use of liquid organic waste for the production of biogas (methane); solid organic, organomineral fertilizer and / or nutrient source for plants and for reusable water in agro-industrial systems ",Univ Fed Do Paraná,"Brener Magnabosco Marra, Marcos Augusto Barth Tucunduva, Alexandre Leseur Dos Santos, Matheus Antonio Da Costa, Gustavo Ramos De Oliveira, Carlos Eduardo Zacarkim, Luis Fernando Souza Gomes, Dile Pontarolo Stremel, Djair Dos Santos De Lima E Souza",2012-03-16,2012-03-16,2015-04-07,,https://patents.google.com/patent/BR102012005977A2/en,
BR-112015013320-A2,biogas production through multistage fermentation in a single container ,Planungsbuero Rossow Ges Fuer Erneuerbare Energien Mbh,Rossow Norbert,2012-12-07,2013-12-09,2017-07-11,,https://patents.google.com/patent/BR112015013320A2/en,
BR-102017024793-A2,BIOGAS REFINING UNIT AND BIOMETHANE SUPPLY ,Er-Br - Energias Renováveis Ltda.,"Mário Cesar Reinert, Cícero Jayme Bley",2017-11-18,2017-11-18,2019-06-04,,https://patents.google.com/patent/BR102017024793A2/en,
BR-112014007691-A2,biogas plant and process for operating a biogas plant ,Kompoferm Gmbh,Eggersmann Karlgünter,2011-09-29,2011-09-29,2017-04-18,,https://patents.google.com/patent/BR112014007691A2/en,
BR-112017025946-A2,biogas purification method and biogas purification system ,Calgon Carbon Corp,"James Warburton Andrew, Michel Honore Franck, Anthony Ryan Thomas",2015-06-01,2016-05-31,2018-08-14,,https://patents.google.com/patent/BR112017025946A2/en,
BR-112014007673-A2,process for biogas production ,Rheinkalk Gmbh,"Pickbrenner Arnd, Pust Christopher, Saure Heiko, Spicker Volker",2011-09-28,2012-09-21,2017-04-18,,https://patents.google.com/patent/BR112014007673A2/en,
BR-PI0804980-A2,high efficiency sugarcane bagasse and biogas thermoelectric plants ,Sergio Vieira Guerreiro Ribeiro,Sergio Vieira Guerreiro Ribeiro,2008-11-19,2008-11-19,2010-07-27,,https://patents.google.com/patent/BRPI0804980A2/en,
BR-PI0703245-A2,biogas production and purification using microalgae and / or cyanobacteria biomass ,Costa Jorge Alberto Vieira,"Costa Jorge Alberto Vieira, Rosa Andrade Michele Da",2007-06-21,2007-06-21,2009-02-10,,https://patents.google.com/patent/BRPI0703245A2/en,
BR-PI1105214-A2,USE OF BIOGAS FROM URBAN WASTE TREATMENT FOR ELECTRIC POWER GENERATION ,Ilario Bocaletto,Ilario Bocaletto,2011-12-09,2011-12-09,2013-11-19,,https://patents.google.com/patent/BRPI1105214A2/en,
BR-PI0900596-A2,integrated animal waste treatment system for biogas generation ,Bertuol De Moura & Kersting Ad,Moura Luis Augusto Bertuol De,2009-02-20,2009-02-20,2010-11-03,,https://patents.google.com/patent/BRPI0900596A2/en,
BR-112020021191-A2,biogas and column generation method ,Biobrella B.V.,Yde Jarich Rijpma,2018-06-13,2019-06-12,2021-03-02,,https://patents.google.com/patent/BR112020021191A2/en,
BR-112020012561-A2,biogas plant ,Javier Biela Pamies,Javier Biela Pamies,2017-12-19,2018-12-19,2020-11-24,,https://patents.google.com/patent/BR112020012561A2/en,
BR-112022019805-A2,METHOD AND SYSTEM OF STORAGE OF A BIOGAS IN A TANK. ,"Association Pour La Rech Et Le Developpement Des Methodes Et Processus Industriels Armines, Ecole Nat Superieure Des Mines De Paris","Arturo Rivera Tinoco Rodrigo, Nemer Maroun",2020-04-06,2021-03-31,2022-11-16,,https://patents.google.com/patent/BR112022019805A2/en,
BR-102021001787-A2,PLANT AND PROCESS FOR THE PRODUCTION OF DESULFURANT BIOGAS ,"L'air Liquide, Société Anonyme Pour L'etude Et L'exploitation Des Procedes Georges Claude","Aude BERTRANDIAS, Solene Valentin",2020-01-31,2021-01-29,2021-08-10,,https://patents.google.com/patent/BR102021001787A2/en,
BR-102019022701-A2,"MODULAR AND COMPACT ANAEROBIC AND AEROBIC BIOLOGICAL AND NON-BIOLOGICAL REACTOR SYSTEM (PHYSICAL CHEMICAL), INTEGRATED BY COMMUNICATING VESSELS AND PROCESS FOR THE TREATMENT OF EFFLUENTS WITH BIOGAS PRODUCTION BY BIODIGESTION OF ORGANIC MATTER ",Nicola Isidoro Martorano Filho,Nicola Isidoro Martorano Filho,2019-10-30,2019-10-30,2021-05-11,,https://patents.google.com/patent/BR102019022701A2/en,https://patentimages.storage.googleapis.com/8e/ec/e6/7481732afe1196/img0001.png
BR-MU8501012-U,"production and development of nanotechnology, ""nanotubes"", having biogas from animal waste and waste gas as sources of methane ",Raetch Sist S De Conversao De,"Maria Isabel Caires, Eveline De Robertis, Marcelo Luis Calegaro, Marcelo Regatieri Sampaio, Jose Adao Caires, Brasilio Antonio Ferrei Soares",2005-05-20,2005-05-20,2007-01-02,,https://patents.google.com/patent/BRMU8501012U/en,
BR-102020005994-A2,PROCESS FOR PURIFICATION OF BIOGAS USING DOUBLE LAMELLAR MAGNETIC HYDROXIDES AS ADSORBENTS ,Universidade Tecnologica Federal Do Parana,"Alesandro Bail, Eduardo Ziglioli, Ilton José Baraldi, Laércio Mantovani Frare, Murilo Pereira Moisés, Renata Mello Giona",,2020-03-25,2021-10-05,,https://patents.google.com/patent/BR102020005994A2/en,https://patentimages.storage.googleapis.com/b8/01/45/eebe911505d8a9/img0003.png
BR-102020007711-A2,EQUIPMENT WITH CONTINUOUS BIOGAS FILTERING AND PURIFICATION SYSTEM ,André Luiz Fernandes De Amorim,André Luiz Fernandes De Amorim,,2020-04-17,2021-11-03,,https://patents.google.com/patent/BR102020007711A2/en,https://patentimages.storage.googleapis.com/90/37/dd/35de63c841df16/img0001.png
BR-102017016893-A2,COMPRESSED AIR TURBINE FOR BIOGAS AND GAS FOR SYNTHESIS ,Ipk Engenharia Ltda - Epp,"Dantas Victoria Isaias, Kassab Pedro",2017-08-07,2017-08-07,2017-10-17,,https://patents.google.com/patent/BR102017016893A2/en,
BR-102020025463-A2,ANALYTICAL TOOL BASED ON EMBEDDED SYSTEM FOR ONLINE MONITORING OF BIOGAS PRODUCTION IN ANAEROBIC REACTORS ,"Universidade Estadual Da Paraiba, Alcalitech Fabricacao De Aparelhos E Equipamentos De Medida E Controle Ltda","Railson De Oliveira Ramos, Thales Lacerda Querino De Albuquerque, Wilton Silva Lopes",2020-12-14,2020-12-14,2022-06-28,,https://patents.google.com/patent/BR102020025463A2/en,https://patentimages.storage.googleapis.com/ec/64/58/9e91f2c8f2a12a/img0001.png
BR-202021014458-U2,DEVICE FOR BIOGAS MEASUREMENT ,"Inst Federal De Educacao Ciencia E Tecnologia Do Tocantins, Inst Federal De Educacao Ciencia E Tecnologia Do Espirito Santo, Fundacao Univ Federal Do Tocantins","Mendes Pedroza Marcelo, De França Everaldo, Pereira Negre Eduardo, Gilson Rebouças Porto Júnior Francisco, Antonio Baleeiro Alves Marco, Gracielly Nogueira Colen Aymara",2021-07-22,2021-07-22,2022-08-09,,https://patents.google.com/patent/BR202021014458U2/en,
BR-102019005723-A2,MODULAR STRUCTURE FOR PURIFICATION OF BIOGAS WITH GREEN COVERAGE ,Unifei - Universidade Federal De Itajubá," Herlane Costa Calheiros, Luisa Silva Costa",2019-03-22,2019-03-22,2020-10-06,,https://patents.google.com/patent/BR102019005723A2/en,https://patentimages.storage.googleapis.com/c4/b2/bb/99b2fd59373959/img0001.png
BR-102020025574-A2,METHOD BASED ON ELECTRONIC PRESSURE AND TEMPERATURE MEASUREMENT FOR MONITORING BIOGAS PRODUCTION IN ANAEROBIC REACTORS ,"Universidade Estadual Da Paraiba, Alcalitech Fabricacao De Aparelhos E Equipamentos De Medida E Controle Ltda","Railson De Oliveira Ramos, Thales Lacerda Querino De Albuquerque, Wilton Silva Lopes",2020-12-15,2020-12-15,2022-06-28,,https://patents.google.com/patent/BR102020025574A2/en,https://patentimages.storage.googleapis.com/43/f8/81/518c5dee58fb52/img0001.png
BR-202021004757-U2,SYSTEM FOR THE PURIFICATION OF BIOGAS OBTAINED THROUGH ANAEROBIC DIGESTION OF URBAN SOLID WASTE THROUGH INJECTION IN MICROALGAE CULTURE ,"Apolo Lab Energia Renovavel Ltda, Gera Maranhão - Geradora De Energia Do Maranhão S. A, Gera Amazonas ? Geradora De Energia Do Amazonas S/A","Anderson Cardoso Sakuma, Augusto Henrique Seffrin Silva, Eduardo Siqueira, Francielle Steski De Andrade, Igor Da Silva Deggerone, Jean Cleber Da Silva, Leonardo Kozak Michelon, Lucas Camargo Lobo, Marcelo Diletti Carelli, Maria Eduarda Behrens De Oliveira Viana, Nicoly Furquim De Souza",2021-03-12,2021-03-12,2023-03-21,,https://patents.google.com/patent/BR202021004757U2/en,https://patentimages.storage.googleapis.com/57/aa/e6/3a7d6345d3c15d/img0001.png
BR-102021006187-A2,OYSTER SHELL BASED ALKALINIZATION PROCESS FOR OPTIMIZING BIOGAS PRODUCTION ,"Instituto De Tecnologia E Pesquisa, Universidade Tiradentes","Larissa Renata Santos Andrade, Luciano De Melo, Ianny Andrade Cruz, Renan Tavares Figueiredo, Luiz Fernando Romanholo Ferreira",2021-03-30,2021-03-30,2022-10-04,,https://patents.google.com/patent/BR102021006187A2/en,https://patentimages.storage.googleapis.com/b8/af/f2/0dbf0c5bc019f9/img0001.png
BR-102019008003-A2,process of obtaining biomass biogas using termites in a bioreactor ,Diogo Mitsuo Oliveira Ogawa,Diogo Mitsuo Oliveira Ogawa,2019-04-18,2019-04-18,2020-10-27,,https://patents.google.com/patent/BR102019008003A2/en,https://patentimages.storage.googleapis.com/f3/ad/de/9383d009f3e210/img0001.png
BR-102019018055-A2,"DEVICE, HYDROGEN SULPHIDE CONTROL PROCESS AND INCREASED METHANE PRODUCTION IN BIOGAS, AND USES ","Universidade Federal De Minas Gerais, Fundação De Amparo À Pesquisa Do Estado De Minas Gerais - Fapemig","Cláudio Leite De Souza, Tamile Dafne Marinho",2019-08-29,2019-08-29,2021-03-09,,https://patents.google.com/patent/BR102019018055A2/en,https://patentimages.storage.googleapis.com/ca/ba/b5/c2907c7b2513a0/img0002.png
BR-102019016547-A2,MODULAR ANAEROBIC CODIGESTER FOR THE ENVIRONMENTAL TREATMENT OF ORGANIC WASTE WITH THE PRODUCTION OF BIOGAS AND BIOFERTILIZER ,"Instituto Federal De Educação, Ciência E Tecnologia Fluminense","Adriano Henrique Ferrarez, Letícia Ribeiro Machado, Fernando César Alves, Rozimaldo De Souza Tavares Júnior",2019-08-09,2019-08-09,2023-01-03,,https://patents.google.com/patent/BR102019016547A2/en,https://patentimages.storage.googleapis.com/a3/a7/a2/de3479d881da73/img0001.png
BR-102019020070-A2,SYSTEM AND PROCESS FOR EFFLUENT TREATMENT AND BIOGAS PRODUCTION BY MICROBIOLOGICAL AND PHYSICAL-CHEMICAL REACTOR ,Carla Geane Brandenburg Brenner,Carla Geane Brandenburg Brenner,2019-09-25,2019-09-25,2021-04-13,,https://patents.google.com/patent/BR102019020070A2/en,https://patentimages.storage.googleapis.com/67/96/2b/2f3ac14f119c07/img0001.png
BR-102020025192-A2,Automated anstbr reactor for biogas production ,"Instituto De Tecnologia E Pesquisa, Universidade Tiradentes","Ianny Andrade Cruz, Luciano De Melo, Márcio Melo, Luiz Fernando Romanholo Ferreira, Renan Tavares Figueiredo, Rebeca Yndira Cabrera Padilla",2020-12-10,2020-12-10,2022-06-21,,https://patents.google.com/patent/BR102020025192A2/en,https://patentimages.storage.googleapis.com/8b/91/7d/e4242b15596d0b/img0002.png
BR-202017001543-Y1,CONSTRUCTIVE ARRANGEMENT APPLIED IN A BIOGAS PRODUCTION DEVICE ,Universidade Federal Fluminense,"Sorele Batista Fiaux, Carlos Rodrigues Pereira, Vinicius Oliveira De Araújo",2017-01-25,2017-01-25,2022-12-20,,https://patents.google.com/patent/BR202017001543Y1/en,https://patentimages.storage.googleapis.com/ea/0d/f9/62ec9091f034e2/img0001.png
BR-102017004170-A2,bioreactor for determination of biogas and biomethane production in anaerobic environment ,"Universidade Federal De Pernambuco, Universidade Federal De Sergipe","Sávio Henrique De Barros Holanda, Antônio Rodrigues De Brito, José Fernando Thomé Jucá, Alberto Wisniewski",2017-03-02,2017-03-02,2018-10-30,,https://patents.google.com/patent/BR102017004170A2/en,
BR-102016024012-A2,"hydrolysis apparatus, substrate hydrolysis process by hydrolysis apparatus and biogas plant ",Aat Abwasser- Und Abfalltechnik Gmbh,Kloser Christian,2015-10-16,2016-10-14,2017-04-25,,https://patents.google.com/patent/BR102016024012A2/en,
BR-202016023551-U2,BIOGAS DESULFURIZATION AND DRYING EQUIPMENT ,Alves De Rezende Niromar,"Kaminski Moacir, Alves De Rezende Niromar",2016-10-10,2016-10-10,2018-05-02,,https://patents.google.com/patent/BR202016023551U2/en,
BR-0107653-A,Process and device for the production of biogas with methane content from organic substances ,Erich Rebholz,"Erich Rebholz, Johann Reithmayer",2000-01-18,2001-01-17,2002-10-15,,https://patents.google.com/patent/BR0107653A/en,
BR-202016019895-U2,BIOGAS GENERATOR SET WITH AUTOMATIC START ,Odair Luiz Orth - Me,Luiz Orth Odair,2016-08-26,2016-08-26,2018-03-13,,https://patents.google.com/patent/BR202016019895U2/en,
BR-102015031011-B1,Integrated process for producing oil and biogas from vinasse ,Fermentec - Tecnologias Em Açúcar E Álcool Ltda,"Alexandre GODOY, Marcel Salmeron Lorenzi, Silene Cristina De Lima Paulillo, Sofia Constança Vieira Machado, Cândida Manuel Ribeiro Simões Lucas, Mario Lúcio Lopes",2015-12-10,2015-12-10,2022-03-22,,https://patents.google.com/patent/BR102015031011B1/en,https://patentimages.storage.googleapis.com/76/4c/b1/1924f55f8faf7e/img0005.png
BR-102015030278-A2,chelated iron based biogas filter ,3Di Engenharia Ltda - Me,"Silvero Patuzzo Giovani, Carlos Christmann Zank João, Ricken Lucio, Fabio Savoldi Maycon",2015-12-02,2015-12-02,2017-06-06,,https://patents.google.com/patent/BR102015030278A2/en,
BR-102015024184-A2,modular system for analysis of productive capacity and energy efficiency in biogas power generation ,Univ Fed De Alagoas,"Paz Da Silva Francirley, Bastos Lyra Guilherme",2015-09-21,2015-09-21,2017-03-28,,https://patents.google.com/patent/BR102015024184A2/en,
BR-102015015489-B1,ATMOSPHERIC BURNER FOR BIOGAS AND METHANE ,Universidade Federal De Itajubá – Unifei,Helcio Francisco Villa Nova,2015-06-26,2015-06-26,2022-11-16,,https://patents.google.com/patent/BR102015015489B1/en,https://patentimages.storage.googleapis.com/3a/b4/46/1bbb6d1ee8884a/img0001.png
